,FileName,Time Recorded,Tool bounding box,Phase
0,191R3__00000.jpg,0.03,"[{'class': 'skinholder', 'xmin': 122, 'xmax': 488, 'ymin': 307, 'ymax': 532}, {'class': 'skinholder', 'xmin': 1583, 'xmax': 1918, 'ymin': 325, 'ymax': 454}, {'class': 'iris', 'xmin': 782, 'xmax': 1461, 'ymin': 281, 'ymax': 1003}]",Nothing
1,191R3__00001.jpg,0.07,[],Nothing
2,191R3__00002.jpg,0.1,[],Nothing
3,191R3__00003.jpg,0.14,[],Nothing
4,191R3__00004.jpg,0.17,[],Nothing
5,191R3__00005.jpg,0.2,[],Nothing
6,191R3__00006.jpg,0.24,[],Nothing
7,191R3__00007.jpg,0.27,[],Nothing
8,191R3__00008.jpg,0.31,[],Nothing
9,191R3__00009.jpg,0.34,[],Nothing
10,191R3__00010.jpg,0.38,"[{'class': 'skinholder', 'xmin': 149, 'xmax': 515, 'ymin': 334, 'ymax': 560}, {'class': 'skinholder', 'xmin': 1583, 'xmax': 1918, 'ymin': 355, 'ymax': 484}, {'class': 'iris', 'xmin': 802, 'xmax': 1481, 'ymin': 305, 'ymax': 1012}]",Nothing
11,191R3__00011.jpg,0.41,[],Nothing
12,191R3__00012.jpg,0.44,[],Nothing
13,191R3__00013.jpg,0.48,[],Nothing
14,191R3__00014.jpg,0.51,[],Nothing
15,191R3__00015.jpg,0.55,[],Nothing
16,191R3__00016.jpg,0.58,[],Nothing
17,191R3__00017.jpg,0.62,[],Nothing
18,191R3__00018.jpg,0.65,[],Nothing
19,191R3__00019.jpg,0.69,[],Nothing
20,191R3__00020.jpg,0.72,"[{'class': 'iris', 'xmin': 813, 'xmax': 1492, 'ymin': 314, 'ymax': 1022}, {'class': 'skinholder', 'xmin': 165, 'xmax': 531, 'ymin': 346, 'ymax': 572}, {'class': 'skinholder', 'xmin': 1601, 'xmax': 1918, 'ymin': 369, 'ymax': 499}]",Nothing
21,191R3__00021.jpg,0.75,[],Nothing
22,191R3__00022.jpg,0.79,[],Nothing
23,191R3__00023.jpg,0.82,[],Nothing
24,191R3__00024.jpg,0.86,[],Nothing
25,191R3__00025.jpg,0.89,[],Nothing
