,FileName,Time Recorded,Label Title,Phase
0,191R5__00000.jpg,0.03,[],Nothing
1,191R5__00001.jpg,0.07,[],Nothing
2,191R5__00002.jpg,0.1,[],Nothing
3,191R5__00003.jpg,0.14,[],Nothing
4,191R5__00004.jpg,0.17,[],Nothing
5,191R5__00005.jpg,0.2,[],Nothing
6,191R5__00006.jpg,0.24,[],Nothing
7,191R5__00007.jpg,0.27,[],Nothing
8,191R5__00008.jpg,0.31,[],Nothing
9,191R5__00009.jpg,0.34,[],Nothing
10,191R5__00010.jpg,0.38,[],Nothing
11,191R5__00011.jpg,0.41,[],Nothing
12,191R5__00012.jpg,0.44,[],Nothing
13,191R5__00013.jpg,0.48,[],Nothing
14,191R5__00014.jpg,0.51,[],Nothing
15,191R5__00015.jpg,0.55,[],Nothing
16,191R5__00016.jpg,0.58,[],Nothing
17,191R5__00017.jpg,0.62,[],Nothing
18,191R5__00018.jpg,0.65,[],Nothing
19,191R5__00019.jpg,0.69,[],Nothing
20,191R5__00020.jpg,0.72,[],Nothing
21,191R5__00021.jpg,0.75,[],Nothing
22,191R5__00022.jpg,0.79,[],Nothing
23,191R5__00023.jpg,0.82,[],Nothing
24,191R5__00024.jpg,0.86,[],Nothing
25,191R5__00025.jpg,0.89,[],Nothing
26,191R5__00026.jpg,0.92,[],Nothing
27,191R5__00027.jpg,0.96,[],Nothing
28,191R5__00028.jpg,0.99,[],Nothing
29,191R5__00029.jpg,1.03,[],Nothing
30,191R5__00030.jpg,1.06,[],Nothing
31,191R5__00031.jpg,1.1,[],Nothing
32,191R5__00032.jpg,1.13,[],Nothing
33,191R5__00033.jpg,1.16,[],Nothing
34,191R5__00034.jpg,1.2,[],Nothing
35,191R5__00035.jpg,1.23,[],Nothing
36,191R5__00036.jpg,1.27,[],Nothing
37,191R5__00037.jpg,1.3,[],Nothing
38,191R5__00038.jpg,1.34,[],Nothing
39,191R5__00039.jpg,1.37,[],Nothing
40,191R5__00040.jpg,1.4,[],Nothing
41,191R5__00041.jpg,1.44,[],Nothing
42,191R5__00042.jpg,1.47,[],Nothing
43,191R5__00043.jpg,1.51,[],Nothing
44,191R5__00044.jpg,1.54,[],Nothing
45,191R5__00045.jpg,1.58,[],Nothing
46,191R5__00046.jpg,1.61,[],Nothing
47,191R5__00047.jpg,1.64,[],Nothing
48,191R5__00048.jpg,1.68,[],Nothing
49,191R5__00049.jpg,1.71,[],Nothing
50,191R5__00050.jpg,1.75,[],Nothing
51,191R5__00051.jpg,1.78,[],Nothing
52,191R5__00052.jpg,1.81,[],Nothing
53,191R5__00053.jpg,1.85,[],Nothing
54,191R5__00054.jpg,1.88,[],Nothing
55,191R5__00055.jpg,1.92,[],Nothing
56,191R5__00056.jpg,1.95,[],Nothing
57,191R5__00057.jpg,1.99,[],Nothing
58,191R5__00058.jpg,2.02,[],Nothing
59,191R5__00059.jpg,2.05,[],Nothing
60,191R5__00060.jpg,2.09,[],Nothing
61,191R5__00061.jpg,2.12,[],Nothing
62,191R5__00062.jpg,2.16,[],Nothing
63,191R5__00063.jpg,2.19,[],Nothing
64,191R5__00064.jpg,2.22,[],Nothing
65,191R5__00065.jpg,2.26,[],Nothing
66,191R5__00066.jpg,2.29,[],Nothing
67,191R5__00067.jpg,2.33,[],Nothing
68,191R5__00068.jpg,2.36,[],Nothing
69,191R5__00069.jpg,2.4,[],Nothing
70,191R5__00070.jpg,2.43,[],Nothing
71,191R5__00071.jpg,2.46,[],Nothing
72,191R5__00072.jpg,2.5,[],Nothing
73,191R5__00073.jpg,2.53,[],Nothing
74,191R5__00074.jpg,2.57,[],Nothing
75,191R5__00075.jpg,2.6,[],Nothing
76,191R5__00076.jpg,2.64,[],Nothing
77,191R5__00077.jpg,2.67,[],Nothing
78,191R5__00078.jpg,2.7,[],Nothing
79,191R5__00079.jpg,2.74,[],Nothing
80,191R5__00080.jpg,2.77,[],Nothing
81,191R5__00081.jpg,2.81,[],Nothing
82,191R5__00082.jpg,2.84,[],Nothing
83,191R5__00083.jpg,2.88,[],Nothing
84,191R5__00084.jpg,2.91,[],Nothing
85,191R5__00085.jpg,2.94,[],Nothing
86,191R5__00086.jpg,2.98,[],Nothing
87,191R5__00087.jpg,3.01,[],Nothing
88,191R5__00088.jpg,3.05,[],Nothing
89,191R5__00089.jpg,3.08,[],Nothing
90,191R5__00090.jpg,3.12,[],Nothing
91,191R5__00091.jpg,3.15,[],Nothing
92,191R5__00092.jpg,3.18,[],Nothing
93,191R5__00093.jpg,3.22,[],Nothing
94,191R5__00094.jpg,3.25,[],Nothing
95,191R5__00095.jpg,3.29,[],Nothing
96,191R5__00096.jpg,3.32,[],Nothing
97,191R5__00097.jpg,3.36,[],Nothing
98,191R5__00098.jpg,3.39,[],Nothing
99,191R5__00099.jpg,3.42,[],Nothing
100,191R5__00100.jpg,3.46,[],Nothing
101,191R5__00101.jpg,3.49,[],Nothing
102,191R5__00102.jpg,3.53,[],Nothing
103,191R5__00103.jpg,3.56,[],Nothing
104,191R5__00104.jpg,3.59,[],Nothing
105,191R5__00105.jpg,3.63,[],Nothing
106,191R5__00106.jpg,3.66,[],Nothing
107,191R5__00107.jpg,3.7,[],Nothing
108,191R5__00108.jpg,3.73,[],Nothing
109,191R5__00109.jpg,3.77,[],Nothing
110,191R5__00110.jpg,3.8,[],Nothing
111,191R5__00111.jpg,3.83,[],Nothing
112,191R5__00112.jpg,3.87,[],Nothing
113,191R5__00113.jpg,3.9,[],Nothing
114,191R5__00114.jpg,3.94,[],Nothing
115,191R5__00115.jpg,3.97,[],Nothing
116,191R5__00116.jpg,4.01,[],Nothing
117,191R5__00117.jpg,4.04,[],Nothing
118,191R5__00118.jpg,4.07,[],Nothing
119,191R5__00119.jpg,4.11,[],Nothing
120,191R5__00120.jpg,4.14,[],Nothing
121,191R5__00121.jpg,4.18,[],Nothing
122,191R5__00122.jpg,4.21,[],Nothing
123,191R5__00123.jpg,4.24,[],Nothing
124,191R5__00124.jpg,4.28,[],Nothing
125,191R5__00125.jpg,4.31,[],Nothing
126,191R5__00126.jpg,4.35,[],Nothing
127,191R5__00127.jpg,4.38,[],Nothing
128,191R5__00128.jpg,4.42,[],Nothing
129,191R5__00129.jpg,4.45,[],Nothing
130,191R5__00130.jpg,4.48,[],Nothing
131,191R5__00131.jpg,4.52,[],Nothing
132,191R5__00132.jpg,4.55,[],Nothing
133,191R5__00133.jpg,4.59,[],Nothing
134,191R5__00134.jpg,4.62,[],Nothing
135,191R5__00135.jpg,4.66,[],Nothing
136,191R5__00136.jpg,4.69,[],Nothing
137,191R5__00137.jpg,4.72,[],Nothing
138,191R5__00138.jpg,4.76,[],Nothing
139,191R5__00139.jpg,4.79,[],Nothing
140,191R5__00140.jpg,4.83,[],Nothing
141,191R5__00141.jpg,4.86,[],Nothing
142,191R5__00142.jpg,4.89,[],Nothing
143,191R5__00143.jpg,4.93,[],Nothing
144,191R5__00144.jpg,4.96,[],Nothing
145,191R5__00145.jpg,5.0,[],Nothing
146,191R5__00146.jpg,5.03,[],Nothing
147,191R5__00147.jpg,5.07,[],Nothing
148,191R5__00148.jpg,5.1,[],Nothing
149,191R5__00149.jpg,5.14,[],Nothing
150,191R5__00150.jpg,5.17,[],Nothing
151,191R5__00151.jpg,5.2,[],Nothing
152,191R5__00152.jpg,5.24,[],Nothing
153,191R5__00153.jpg,5.27,[],Nothing
154,191R5__00154.jpg,5.31,[],Nothing
155,191R5__00155.jpg,5.34,[],Nothing
156,191R5__00156.jpg,5.37,[],Nothing
157,191R5__00157.jpg,5.41,[],Nothing
158,191R5__00158.jpg,5.44,[],Nothing
159,191R5__00159.jpg,5.48,[],Nothing
160,191R5__00160.jpg,5.51,[],Nothing
161,191R5__00161.jpg,5.55,[],Nothing
162,191R5__00162.jpg,5.58,[],Nothing
163,191R5__00163.jpg,5.61,[],Nothing
164,191R5__00164.jpg,5.65,[],Nothing
165,191R5__00165.jpg,5.68,[],Nothing
166,191R5__00166.jpg,5.72,[],Nothing
167,191R5__00167.jpg,5.75,[],Nothing
168,191R5__00168.jpg,5.78,[],Nothing
169,191R5__00169.jpg,5.82,[],Nothing
170,191R5__00170.jpg,5.85,[],Nothing
171,191R5__00171.jpg,5.89,[],Nothing
172,191R5__00172.jpg,5.92,[],Nothing
173,191R5__00173.jpg,5.96,[],Nothing
174,191R5__00174.jpg,5.99,[],Nothing
175,191R5__00175.jpg,6.03,[],Nothing
176,191R5__00176.jpg,6.06,[],Nothing
177,191R5__00177.jpg,6.09,[],Nothing
178,191R5__00178.jpg,6.13,[],Nothing
179,191R5__00179.jpg,6.16,[],Nothing
180,191R5__00180.jpg,6.2,[],Nothing
181,191R5__00181.jpg,6.23,[],Nothing
182,191R5__00182.jpg,6.26,[],Nothing
183,191R5__00183.jpg,6.3,[],Nothing
184,191R5__00184.jpg,6.33,[],Nothing
185,191R5__00185.jpg,6.37,[],Nothing
186,191R5__00186.jpg,6.4,[],Nothing
187,191R5__00187.jpg,6.43,[],Nothing
188,191R5__00188.jpg,6.47,[],Nothing
189,191R5__00189.jpg,6.5,[],Nothing
190,191R5__00190.jpg,6.54,[],Nothing
191,191R5__00191.jpg,6.57,[],Nothing
192,191R5__00192.jpg,6.61,[],Nothing
193,191R5__00193.jpg,6.64,[],Nothing
194,191R5__00194.jpg,6.68,[],Nothing
195,191R5__00195.jpg,6.71,[],Nothing
196,191R5__00196.jpg,6.74,[],Nothing
