,FileName,Time Recorded,Tool bounding box,Phase
0,191S3__00000.jpg,0.03,"[{'class': 'skinholder', 'xmin': 212, 'xmax': 601, 'ymin': 448, 'ymax': 589}, {'class': 'skinholder', 'xmin': 1555, 'xmax': 1918, 'ymin': 380, 'ymax': 507}, {'class': 'iris', 'xmin': 819, 'xmax': 1509, 'ymin': 373, 'ymax': 1078}]",Nothing
1,191S3__00001.jpg,0.07,[],Nothing
2,191S3__00002.jpg,0.1,[],Nothing
3,191S3__00003.jpg,0.14,[],Nothing
4,191S3__00004.jpg,0.17,[],Nothing
5,191S3__00005.jpg,0.2,[],Nothing
6,191S3__00006.jpg,0.24,[],Nothing
7,191S3__00007.jpg,0.27,[],Nothing
8,191S3__00008.jpg,0.31,[],Nothing
9,191S3__00009.jpg,0.34,[],Nothing
10,191S3__00010.jpg,0.38,"[{'class': 'skinholder', 'xmin': 1538, 'xmax': 1918, 'ymin': 384, 'ymax': 536}, {'class': 'iris', 'xmin': 803, 'xmax': 1493, 'ymin': 383, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 203, 'xmax': 593, 'ymin': 456, 'ymax': 597}]",Nothing
11,191S3__00011.jpg,0.41,[],Nothing
12,191S3__00012.jpg,0.44,[],Nothing
13,191S3__00013.jpg,0.48,[],Nothing
14,191S3__00014.jpg,0.51,[],Nothing
15,191S3__00015.jpg,0.55,[],Nothing
16,191S3__00016.jpg,0.58,[],Nothing
17,191S3__00017.jpg,0.62,[],Nothing
18,191S3__00018.jpg,0.65,[],Nothing
19,191S3__00019.jpg,0.69,[],Nothing
20,191S3__00020.jpg,0.72,"[{'class': 'skinholder', 'xmin': 1510, 'xmax': 1905, 'ymin': 410, 'ymax': 561}, {'class': 'iris', 'xmin': 773, 'xmax': 1463, 'ymin': 398, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 188, 'xmax': 577, 'ymin': 473, 'ymax': 614}]",Nothing
21,191S3__00021.jpg,0.75,[],Nothing
22,191S3__00022.jpg,0.79,[],Nothing
23,191S3__00023.jpg,0.82,[],Nothing
24,191S3__00024.jpg,0.86,[],Nothing
25,191S3__00025.jpg,0.89,[],Nothing
26,191S3__00026.jpg,0.92,[],Nothing
27,191S3__00027.jpg,0.96,[],Nothing
28,191S3__00028.jpg,0.99,[],Nothing
29,191S3__00029.jpg,1.03,[],Nothing
30,191S3__00030.jpg,1.06,"[{'class': 'iris', 'xmin': 770, 'xmax': 1460, 'ymin': 417, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1508, 'xmax': 1903, 'ymin': 422, 'ymax': 573}, {'class': 'skinholder', 'xmin': 179, 'xmax': 569, 'ymin': 497, 'ymax': 638}]",Nothing
31,191S3__00031.jpg,1.1,[],Nothing
32,191S3__00032.jpg,1.13,[],Nothing
33,191S3__00033.jpg,1.16,[],Nothing
34,191S3__00034.jpg,1.2,[],Nothing
35,191S3__00035.jpg,1.23,[],Nothing
36,191S3__00036.jpg,1.27,[],Nothing
37,191S3__00037.jpg,1.3,[],Nothing
38,191S3__00038.jpg,1.34,[],Nothing
39,191S3__00039.jpg,1.37,[],Nothing
40,191S3__00040.jpg,1.4,"[{'class': 'iris', 'xmin': 770, 'xmax': 1460, 'ymin': 444, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1493, 'xmax': 1888, 'ymin': 456, 'ymax': 607}, {'class': 'skinholder', 'xmin': 179, 'xmax': 569, 'ymin': 504, 'ymax': 645}]",Nothing
41,191S3__00041.jpg,1.44,[],Nothing
42,191S3__00042.jpg,1.47,[],Nothing
43,191S3__00043.jpg,1.51,[],Nothing
44,191S3__00044.jpg,1.54,[],Nothing
45,191S3__00045.jpg,1.58,[],Nothing
46,191S3__00046.jpg,1.61,[],Nothing
47,191S3__00047.jpg,1.64,[],Nothing
48,191S3__00048.jpg,1.68,[],Nothing
49,191S3__00049.jpg,1.71,[],Nothing
50,191S3__00050.jpg,1.75,"[{'class': 'skinholder', 'xmin': 179, 'xmax': 569, 'ymin': 504, 'ymax': 645}, {'class': 'iris', 'xmin': 782, 'xmax': 1472, 'ymin': 438, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1518, 'xmax': 1909, 'ymin': 444, 'ymax': 607}]",Nothing
51,191S3__00051.jpg,1.78,[],Nothing
52,191S3__00052.jpg,1.81,[],Nothing
53,191S3__00053.jpg,1.85,[],Nothing
54,191S3__00054.jpg,1.88,[],Nothing
55,191S3__00055.jpg,1.92,[],Nothing
56,191S3__00056.jpg,1.95,[],Nothing
57,191S3__00057.jpg,1.99,[],Nothing
58,191S3__00058.jpg,2.02,[],Nothing
59,191S3__00059.jpg,2.05,[],Nothing
60,191S3__00060.jpg,2.09,"[{'class': 'skinholder', 'xmin': 156, 'xmax': 546, 'ymin': 519, 'ymax': 659}, {'class': 'iris', 'xmin': 739, 'xmax': 1429, 'ymin': 458, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1485, 'xmax': 1875, 'ymin': 453, 'ymax': 616}]",Nothing
61,191S3__00061.jpg,2.12,[],Nothing
62,191S3__00062.jpg,2.16,[],Nothing
63,191S3__00063.jpg,2.19,[],Nothing
64,191S3__00064.jpg,2.22,[],Nothing
65,191S3__00065.jpg,2.26,[],Nothing
66,191S3__00066.jpg,2.29,[],Nothing
67,191S3__00067.jpg,2.33,[],Nothing
68,191S3__00068.jpg,2.36,[],Nothing
69,191S3__00069.jpg,2.4,[],Nothing
70,191S3__00070.jpg,2.43,"[{'class': 'skinholder', 'xmin': 156, 'xmax': 546, 'ymin': 519, 'ymax': 659}, {'class': 'skinholder', 'xmin': 1505, 'xmax': 1896, 'ymin': 439, 'ymax': 602}, {'class': 'iris', 'xmin': 770, 'xmax': 1460, 'ymin': 458, 'ymax': 1078}]",Nothing
71,191S3__00071.jpg,2.46,[],Nothing
72,191S3__00072.jpg,2.5,[],Nothing
73,191S3__00073.jpg,2.53,[],Nothing
74,191S3__00074.jpg,2.57,[],Nothing
75,191S3__00075.jpg,2.6,[],Nothing
76,191S3__00076.jpg,2.64,[],Nothing
77,191S3__00077.jpg,2.67,[],Nothing
78,191S3__00078.jpg,2.7,[],Nothing
79,191S3__00079.jpg,2.74,[],Nothing
80,191S3__00080.jpg,2.77,"[{'class': 'skinholder', 'xmin': 204, 'xmax': 594, 'ymin': 486, 'ymax': 627}, {'class': 'iris', 'xmin': 797, 'xmax': 1487, 'ymin': 421, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1527, 'xmax': 1918, 'ymin': 413, 'ymax': 575}]",Nothing
81,191S3__00081.jpg,2.81,[],Nothing
82,191S3__00082.jpg,2.84,[],Nothing
83,191S3__00083.jpg,2.88,[],Nothing
84,191S3__00084.jpg,2.91,[],Nothing
85,191S3__00085.jpg,2.94,[],Nothing
86,191S3__00086.jpg,2.98,[],Nothing
87,191S3__00087.jpg,3.01,[],Nothing
88,191S3__00088.jpg,3.05,[],Nothing
