,FileName,Time Recorded,Tool Bounding Box,Phase
0,191S6__00000.jpg,0.03,[],Nothing
1,191S6__00001.jpg,0.07,[],Nothing
2,191S6__00002.jpg,0.1,[],Nothing
3,191S6__00003.jpg,0.14,[],Nothing
4,191S6__00004.jpg,0.17,[],Nothing
5,191S6__00005.jpg,0.21,[],Nothing
6,191S6__00006.jpg,0.24,[],Nothing
7,191S6__00007.jpg,0.27,[],Nothing
8,191S6__00008.jpg,0.31,[],Nothing
9,191S6__00009.jpg,0.34,[],Nothing
10,191S6__00010.jpg,0.38,[],Nothing
11,191S6__00011.jpg,0.41,[],Nothing
12,191S6__00012.jpg,0.45,[],Nothing
13,191S6__00013.jpg,0.48,[],Nothing
14,191S6__00014.jpg,0.51,[],Nothing
15,191S6__00015.jpg,0.55,[],Nothing
16,191S6__00016.jpg,0.58,[],Nothing
17,191S6__00017.jpg,0.62,[],Nothing
18,191S6__00018.jpg,0.65,[],Nothing
19,191S6__00019.jpg,0.69,[],Nothing
20,191S6__00020.jpg,0.72,[],Nothing
21,191S6__00021.jpg,0.75,[],Nothing
22,191S6__00022.jpg,0.79,[],Nothing
23,191S6__00023.jpg,0.82,[],Nothing
24,191S6__00024.jpg,0.86,[],Nothing
25,191S6__00025.jpg,0.89,[],Nothing
26,191S6__00026.jpg,0.93,[],Nothing
27,191S6__00027.jpg,0.96,[],Nothing
28,191S6__00028.jpg,1.0,[],Nothing
29,191S6__00029.jpg,1.03,[],Nothing
30,191S6__00030.jpg,1.06,[],Nothing
31,191S6__00031.jpg,1.1,[],Nothing
32,191S6__00032.jpg,1.13,[],Nothing
33,191S6__00033.jpg,1.17,[],Nothing
34,191S6__00034.jpg,1.2,[],Nothing
35,191S6__00035.jpg,1.24,[],Nothing
36,191S6__00036.jpg,1.27,[],Nothing
37,191S6__00037.jpg,1.3,[],Nothing
38,191S6__00038.jpg,1.34,[],Nothing
39,191S6__00039.jpg,1.37,[],Nothing
40,191S6__00040.jpg,1.41,[],Nothing
41,191S6__00041.jpg,1.44,[],Nothing
42,191S6__00042.jpg,1.48,[],Nothing
43,191S6__00043.jpg,1.51,[],Nothing
44,191S6__00044.jpg,1.54,[],Nothing
45,191S6__00045.jpg,1.58,[],Nothing
46,191S6__00046.jpg,1.61,[],Nothing
47,191S6__00047.jpg,1.65,[],Nothing
48,191S6__00048.jpg,1.68,[],Nothing
49,191S6__00049.jpg,1.72,[],Nothing
50,191S6__00050.jpg,1.75,[],Nothing
51,191S6__00051.jpg,1.78,[],Nothing
52,191S6__00052.jpg,1.82,[],Nothing
53,191S6__00053.jpg,1.85,[],Nothing
54,191S6__00054.jpg,1.89,[],Nothing
55,191S6__00055.jpg,1.92,[],Nothing
56,191S6__00056.jpg,1.96,[],Nothing
57,191S6__00057.jpg,1.99,[],Nothing
58,191S6__00058.jpg,2.02,[],Nothing
59,191S6__00059.jpg,2.06,[],Nothing
60,191S6__00060.jpg,2.09,[],Nothing
61,191S6__00061.jpg,2.13,[],Nothing
62,191S6__00062.jpg,2.16,[],Nothing
63,191S6__00063.jpg,2.19,[],Nothing
64,191S6__00064.jpg,2.23,[],Nothing
65,191S6__00065.jpg,2.26,[],Nothing
66,191S6__00066.jpg,2.3,[],Nothing
67,191S6__00067.jpg,2.33,[],Nothing
68,191S6__00068.jpg,2.37,[],Nothing
69,191S6__00069.jpg,2.4,[],Nothing
70,191S6__00070.jpg,2.44,[],Nothing
