Unnamed: 0,FileName,Time Recorded,Tool bounding box,Phase
0,191S7__00000.jpg,0.03,"[{'class': 'skinholder', 'xmin': 295, 'ymin': 708, 'xmax': 804, 'ymax': 1077}, {'class': 'iris', 'xmin': 691, 'ymin': 257, 'xmax': 1286, 'ymax': 886}, {'class': 'skinholder', 'xmin': 1717, 'ymin': 803, 'xmax': 1919, 'ymax': 921}]",Nothing
1,191S7__00001.jpg,0.07,[],Nothing
2,191S7__00002.jpg,0.1,[],Nothing
3,191S7__00003.jpg,0.14,[],Nothing
4,191S7__00004.jpg,0.17,[],Nothing
5,191S7__00005.jpg,0.2,[],Nothing
6,191S7__00006.jpg,0.24,[],Nothing
7,191S7__00007.jpg,0.27,[],Nothing
8,191S7__00008.jpg,0.31,[],Nothing
9,191S7__00009.jpg,0.34,[],Nothing
10,191S7__00010.jpg,0.38,"[{'class': 'iris', 'xmin': 673, 'ymin': 252, 'xmax': 1279, 'ymax': 892}, {'class': 'skinholder', 'xmin': 269, 'ymin': 705, 'xmax': 762, 'ymax': 1078}, {'class': 'skinholder', 'xmin': 1698, 'ymin': 801, 'xmax': 1920, 'ymax': 913}]",Nothing
11,191S7__00011.jpg,0.41,[],Nothing
12,191S7__00012.jpg,0.44,[],Nothing
13,191S7__00013.jpg,0.48,[],Nothing
14,191S7__00014.jpg,0.51,[],Nothing
15,191S7__00015.jpg,0.55,[],Nothing
16,191S7__00016.jpg,0.58,[],Nothing
17,191S7__00017.jpg,0.62,[],Nothing
18,191S7__00018.jpg,0.65,[],Nothing
19,191S7__00019.jpg,0.69,[],Nothing
20,191S7__00020.jpg,0.72,"[{'class': 'iris', 'xmin': 659, 'ymin': 227, 'xmax': 1245, 'ymax': 860}, {'class': 'skinholder', 'xmin': 259, 'ymin': 699, 'xmax': 741, 'ymax': 1077}, {'class': 'skinholder', 'xmin': 1671, 'ymin': 798, 'xmax': 1920, 'ymax': 912}, {'class': 'skinholder', 'xmin': 1795, 'ymin': 0, 'xmax': 1918, 'ymax': 76}]",Nothing
21,191S7__00021.jpg,0.75,[],Nothing
22,191S7__00022.jpg,0.79,[],Nothing
23,191S7__00023.jpg,0.82,[],Nothing
24,191S7__00024.jpg,0.86,[],Nothing
25,191S7__00025.jpg,0.89,[],Nothing
26,191S7__00026.jpg,0.92,[],Nothing
27,191S7__00027.jpg,0.96,[],Nothing
28,191S7__00028.jpg,0.99,[],Nothing
29,191S7__00029.jpg,1.03,[],Nothing
30,191S7__00030.jpg,1.06,"[{'class': 'skinholder', 'xmin': 257, 'ymin': 698, 'xmax': 734, 'ymax': 1077}, {'class': 'iris', 'xmin': 653, 'ymin': 240, 'xmax': 1245, 'ymax': 859}, {'class': 'skinholder', 'xmin': 1793, 'ymin': 2, 'xmax': 1919, 'ymax': 89}, {'class': 'skinholder', 'xmin': 1684, 'ymin': 793, 'xmax': 1920, 'ymax': 910}]",Nothing
31,191S7__00031.jpg,1.1,[],Nothing
32,191S7__00032.jpg,1.13,[],Nothing
33,191S7__00033.jpg,1.16,[],Nothing
34,191S7__00034.jpg,1.2,[],Nothing
35,191S7__00035.jpg,1.23,[],Nothing
36,191S7__00036.jpg,1.27,[],Nothing
37,191S7__00037.jpg,1.3,[],Nothing
38,191S7__00038.jpg,1.34,[],Nothing
39,191S7__00039.jpg,1.37,[],Nothing
40,191S7__00040.jpg,1.4,"[{'class': 'diamondkeratomestraight', 'xmin': 72, 'ymin': 586, 'xmax': 465, 'ymax': 771}, {'class': 'skinholder', 'xmin': 292, 'ymin': 718, 'xmax': 969, 'ymax': 1077}, {'class': 'iris', 'xmin': 691, 'ymin': 227, 'xmax': 1276, 'ymax': 874}, {'class': 'skinholder', 'xmin': 1708, 'ymin': 814, 'xmax': 1919, 'ymax': 938}]",Nothing
41,191S7__00041.jpg,1.44,[],Nothing
42,191S7__00042.jpg,1.47,[],Nothing
43,191S7__00043.jpg,1.51,[],Nothing
44,191S7__00044.jpg,1.54,[],Nothing
45,191S7__00045.jpg,1.58,[],Nothing
46,191S7__00046.jpg,1.61,[],Nothing
47,191S7__00047.jpg,1.64,[],Nothing
48,191S7__00048.jpg,1.68,[],Nothing
49,191S7__00049.jpg,1.71,[],Nothing
50,191S7__00050.jpg,1.75,"[{'class': 'iris', 'xmin': 695, 'ymin': 209, 'xmax': 1303, 'ymax': 851}, {'class': 'forceps', 'xmin': 1306, 'ymin': 478, 'xmax': 1919, 'ymax': 967}, {'class': 'skinholder', 'xmin': 319, 'ymin': 704, 'xmax': 769, 'ymax': 1078}, {'class': 'diamondkeratomestraight', 'xmin': 208, 'ymin': 780, 'xmax': 559, 'ymax': 929}, {'class': 'skinholder', 'xmin': 1694, 'ymin': 804, 'xmax': 1918, 'ymax': 909}]",Nothing
51,191S7__00051.jpg,1.78,[],Nothing
52,191S7__00052.jpg,1.81,[],Nothing
53,191S7__00053.jpg,1.85,[],Nothing
54,191S7__00054.jpg,1.88,[],Nothing
55,191S7__00055.jpg,1.92,[],Nothing
56,191S7__00056.jpg,1.95,[],Nothing
57,191S7__00057.jpg,1.99,[],Nothing
58,191S7__00058.jpg,2.02,[],Nothing
59,191S7__00059.jpg,2.05,[],Nothing
60,191S7__00060.jpg,2.09,"[{'class': 'iris', 'xmin': 691, 'ymin': 197, 'xmax': 1299, 'ymax': 840}, {'class': 'diamondkeratomestraight', 'xmin': 192, 'ymin': 701, 'xmax': 598, 'ymax': 866}, {'class': 'skinholder', 'xmin': 304, 'ymin': 697, 'xmax': 760, 'ymax': 1078}, {'class': 'forceps', 'xmin': 1342, 'ymin': 452, 'xmax': 1918, 'ymax': 927}]",Nothing
